/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 1] train_loss=8.2707 step=391 lr=2.60667e-05
[epoch 1] valid_bleu=0.08 | N/A
[epoch 2] train_loss=6.8799 step=782 lr=5.21333e-05
[epoch 2] valid_bleu=0.29 | N/A
[epoch 3] train_loss=6.4264 step=1173 lr=7.82e-05
[epoch 3] valid_bleu=0.25 | N/A
[epoch 4] train_loss=6.1039 step=1564 lr=0.000104267
[epoch 4] valid_bleu=0.48 | N/A
[epoch 5] train_loss=5.8308 step=1955 lr=0.000130333
[epoch 5] valid_bleu=0.66 | N/A
[epoch 6] train_loss=5.5772 step=2346 lr=0.0001564
[epoch 6] valid_bleu=1.18 | N/A
[epoch 7] train_loss=5.3357 step=2737 lr=0.000182467
[epoch 7] valid_bleu=1.68 | N/A
[epoch 8] train_loss=5.1062 step=3128 lr=0.000208533
[epoch 8] valid_bleu=2.43 | N/A
[epoch 9] train_loss=4.8873 step=3519 lr=0.0002346
[epoch 9] valid_bleu=3.23 | N/A
[epoch 10] train_loss=4.6797 step=3910 lr=0.000260667
[epoch 10] valid_bleu=3.19 | N/A
[epoch 11] train_loss=4.4851 step=4301 lr=0.000286733
[epoch 11] valid_bleu=4.40 | N/A
[epoch 12] train_loss=4.3010 step=4692 lr=0.0003128
[epoch 12] valid_bleu=4.83 | N/A
[epoch 13] train_loss=4.1296 step=5083 lr=0.000338867
[epoch 13] valid_bleu=4.85 | N/A
[epoch 14] train_loss=3.9729 step=5474 lr=0.000364933
[epoch 14] valid_bleu=5.49 | N/A
[epoch 15] train_loss=3.8315 step=5865 lr=0.000391
[epoch 15] valid_bleu=5.94 | N/A
[epoch 16] train_loss=3.7051 step=6256 lr=0.000399998
[epoch 16] valid_bleu=6.04 | N/A
[epoch 17] train_loss=3.5836 step=6647 lr=0.00039999
[epoch 17] valid_bleu=6.92 | N/A
[epoch 18] train_loss=3.4779 step=7038 lr=0.000399973
[epoch 18] valid_bleu=6.69 | N/A
[epoch 19] train_loss=3.3859 step=7429 lr=0.00039995
[epoch 19] valid_bleu=7.30 | N/A
[epoch 20] train_loss=3.3033 step=7820 lr=0.000399919
[epoch 20] valid_bleu=6.84 | N/A
[epoch 21] train_loss=3.2315 step=8211 lr=0.00039988
[epoch 21] valid_bleu=7.13 | N/A
[epoch 22] train_loss=3.1663 step=8602 lr=0.000399833
[epoch 22] valid_bleu=7.11 | N/A
[epoch 23] train_loss=3.1070 step=8993 lr=0.00039978
[epoch 23] valid_bleu=7.48 | N/A
[epoch 24] train_loss=3.0543 step=9384 lr=0.000399718
[epoch 24] valid_bleu=7.21 | N/A
[epoch 25] train_loss=3.0054 step=9775 lr=0.000399649
[epoch 25] valid_bleu=8.12 | N/A
[epoch 26] train_loss=2.9607 step=10166 lr=0.000399573
[epoch 26] valid_bleu=8.10 | N/A
[epoch 27] train_loss=2.9189 step=10557 lr=0.000399489
[epoch 27] valid_bleu=8.08 | N/A
[epoch 28] train_loss=2.8796 step=10948 lr=0.000399398
[epoch 28] valid_bleu=7.23 | N/A
[epoch 29] train_loss=2.8445 step=11339 lr=0.000399299
[epoch 29] valid_bleu=7.57 | N/A
[epoch 30] train_loss=2.8118 step=11730 lr=0.000399193
[epoch 30] valid_bleu=7.78 | N/A
[epoch 31] train_loss=2.7808 step=12121 lr=0.000399079
[epoch 31] valid_bleu=7.88 | N/A
[epoch 32] train_loss=2.7509 step=12512 lr=0.000398958
[epoch 32] valid_bleu=7.59 | N/A
[epoch 33] train_loss=2.7226 step=12903 lr=0.000398829
[epoch 33] valid_bleu=8.39 | N/A
[epoch 34] train_loss=2.6959 step=13294 lr=0.000398693
[epoch 34] valid_bleu=7.79 | N/A
[epoch 35] train_loss=2.6717 step=13685 lr=0.000398549
[epoch 35] valid_bleu=7.92 | N/A
[epoch 36] train_loss=2.6477 step=14076 lr=0.000398398
[epoch 36] valid_bleu=7.99 | N/A
[epoch 37] train_loss=2.6253 step=14467 lr=0.000398239
[epoch 37] valid_bleu=8.51 | N/A
[epoch 38] train_loss=2.6038 step=14858 lr=0.000398073
[epoch 38] valid_bleu=8.34 | N/A
[epoch 39] train_loss=2.5846 step=15249 lr=0.000397899
[epoch 39] valid_bleu=8.07 | N/A
[epoch 40] train_loss=2.5645 step=15640 lr=0.000397718
[epoch 40] valid_bleu=8.01 | N/A
[epoch 41] train_loss=2.5455 step=16031 lr=0.00039753
[epoch 41] valid_bleu=8.08 | N/A
[epoch 42] train_loss=2.5273 step=16422 lr=0.000397334
[epoch 42] valid_bleu=8.17 | N/A
