/afs/250010026/nlp/model/train_transformer_nmt.py:629: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=bool(args.fp16 and device.type == "cuda"))
/afs/250010026/nlp/model/train_transformer_nmt.py:650: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast(enabled=bool(args.fp16 and device.type == "cuda")):
[schedule] steps_per_epoch=391 total_steps=196000 warmup_steps=6000
[epoch 1] train_loss=8.6988 step=391 lr=2.60667e-05
[epoch 1] valid_bleu=0.04 | N/A
[epoch 2] train_loss=7.1959 step=782 lr=5.21333e-05
[epoch 2] valid_bleu=0.09 | N/A
[epoch 3] train_loss=6.7155 step=1173 lr=7.82e-05
[epoch 3] valid_bleu=0.21 | N/A
[epoch 4] train_loss=6.4250 step=1564 lr=0.000104267
[epoch 4] valid_bleu=0.26 | N/A
[epoch 5] train_loss=6.1934 step=1955 lr=0.000130333
[epoch 5] valid_bleu=0.57 | N/A
[epoch 6] train_loss=5.9874 step=2346 lr=0.0001564
[epoch 6] valid_bleu=0.77 | N/A
[epoch 7] train_loss=5.7908 step=2737 lr=0.000182467
[epoch 7] valid_bleu=0.83 | N/A
[epoch 8] train_loss=5.6056 step=3128 lr=0.000208533
[epoch 8] valid_bleu=1.19 | N/A
[epoch 9] train_loss=5.4319 step=3519 lr=0.0002346
[epoch 9] valid_bleu=1.52 | N/A
[epoch 10] train_loss=5.2664 step=3910 lr=0.000260667
[epoch 10] valid_bleu=1.97 | N/A
[epoch 11] train_loss=5.1093 step=4301 lr=0.000286733
[epoch 11] valid_bleu=2.38 | N/A
[epoch 12] train_loss=4.9597 step=4692 lr=0.0003128
[epoch 12] valid_bleu=2.83 | N/A
[epoch 13] train_loss=4.8177 step=5083 lr=0.000338867
[epoch 13] valid_bleu=3.13 | N/A
[epoch 14] train_loss=4.6856 step=5474 lr=0.000364933
[epoch 14] valid_bleu=3.38 | N/A
[epoch 15] train_loss=4.5620 step=5865 lr=0.000391
[epoch 15] valid_bleu=3.71 | N/A
[epoch 16] train_loss=4.4454 step=6256 lr=0.000399998
[epoch 16] valid_bleu=4.06 | N/A
[epoch 17] train_loss=4.3345 step=6647 lr=0.00039999
[epoch 17] valid_bleu=4.60 | N/A
[epoch 18] train_loss=4.2341 step=7038 lr=0.000399973
[epoch 18] valid_bleu=5.71 | N/A
[epoch 19] train_loss=4.1457 step=7429 lr=0.00039995
[epoch 19] valid_bleu=4.96 | N/A
[epoch 20] train_loss=4.0644 step=7820 lr=0.000399919
[epoch 20] valid_bleu=5.57 | N/A
[epoch 21] train_loss=3.9945 step=8211 lr=0.00039988
[epoch 21] valid_bleu=5.74 | N/A
[epoch 22] train_loss=3.9302 step=8602 lr=0.000399833
[epoch 22] valid_bleu=5.88 | N/A
[epoch 23] train_loss=3.8724 step=8993 lr=0.00039978
[epoch 23] valid_bleu=6.10 | N/A
[epoch 24] train_loss=3.8205 step=9384 lr=0.000399718
[epoch 24] valid_bleu=6.60 | N/A
[epoch 25] train_loss=3.7724 step=9775 lr=0.000399649
[epoch 25] valid_bleu=6.45 | N/A
[epoch 26] train_loss=3.7291 step=10166 lr=0.000399573
[epoch 26] valid_bleu=6.47 | N/A
[epoch 27] train_loss=3.6892 step=10557 lr=0.000399489
[epoch 27] valid_bleu=6.66 | N/A
[epoch 28] train_loss=3.6527 step=10948 lr=0.000399398
[epoch 28] valid_bleu=6.92 | N/A
[epoch 29] train_loss=3.6189 step=11339 lr=0.000399299
[epoch 29] valid_bleu=7.08 | N/A
[epoch 30] train_loss=3.5867 step=11730 lr=0.000399193
